name,group,physician_number,sus_01,sus_02,sus_03,sus_04,sus_05,sus_06,sus_07,sus_08,sus_09,sus_10
Clinician 1,senior,1,1,4,5,4,4,1,2,1,5,1
Clinician 2,intern,2,2,1,5,1,4,2,5,1,4,1
Clinician 3,intern,3,1,2,3,4,4,4,2,2,1,5
Clinician 4,intern,4,4,5,5,4,5,4,4,1,4,5
Clinician 5,intern,5,4,1,4,1,4,1,5,1,4,1
Clinician 6,intern,6,4,1,5,1,4,1,5,1,5,1
Clinician 7,junior,7,4,1,5,1,5,2,5,1,5,2
Clinician 8,senior,8,5,1,5,5,5,1,5,1,5,3
Clinician 9,junior,9,4,2,4,4,5,2,5,1,4,1
Clinician 10,senior,10,4,1,2,2,5,2,5,1,4,2
Clinician 11,middle,11,1,1,5,1,3,1,1,1,5,1
Clinician 12,middle,12,3,1,5,1,5,1,3,1,5,1
Clinician 13,middle,13,1,2,5,1,4,1,4,1,5,4
Clinician 14,middle,14,1,1,5,1,3,1,4,2,4,2
Clinician 15,intern,15,5,1,4,1,5,1,4,1,4,1
Clinician 16,intern,16,1,1,5,1,4,2,4,1,4,2
Clinician 17,middle,17,1,2,4,2,4,2,3,2,4,1
Clinician 18,intern,18,2,1,5,1,5,1,5,2,5,2
Clinician 19,middle,19,1,2,4,1,4,5,4,2,4,2
Clinician 20,senior,20,1,1,4,2,4,3,4,2,4,2
Clinician 21,senior,21,1,1,2,1,2,4,4,1,4,4
Clinician 22,middle,22,2,2,4,2,5,2,4,1,4,2
Clinician 23,middle,23,1,1,5,1,5,2,4,2,4,1
Clinician 24,middle,24,1,1,4,1,4,1,5,1,5,1
Clinician 25,middle,25,4,1,4,1,4,2,5,1,4,4
Clinician 26,middle,26,1,1,4,1,4,1,5,2,4,5
Clinician 27,senior,27,1,1,5,1,4,2,5,2,5,4
Clinician 28,junior,28,1,1,5,1,5,1,5,1,4,1
Clinician 29,senior,29,1,1,5,5,5,1,5,1,3,3
Clinician 30,middle,30,4,1,5,1,5,1,5,1,5,1
Clinician 31,intern,31,2,1,5,1,3,1,4,1,3,1
Clinician 32,junior,32,3,3,5,3,5,5,5,1,4,1
Clinician 33,intern,33,3,3,3,3,3,4,2,4,5,5
Clinician 34,middle,34,2,3,2,1,5,4,2,4,4,5
Clinician 35,junior,35,3,1,3,1,3,4,5,5,5,2
Clinician 36,junior,36,2,4,1,2,4,1,2,3,5,1
Clinician 37,intern,37,3,4,5,2,5,3,5,3,4,2
Clinician 38,intern,38,2,1,2,2,4,1,3,3,1,1
Clinician 39,senior,39,3,5,2,5,5,3,5,5,4,2
Clinician 40,senior,40,1,1,1,2,1,2,1,1,3,1
Clinician 41,senior,41,2,1,1,3,1,2,1,5,4,2
Clinician 42,junior,42,3,1,3,1,5,1,5,4,4,3
Clinician 43,middle,43,1,1,3,1,2,5,3,1,4,3
Clinician 44,junior,44,3,2,5,1,2,1,3,1,1,4
Clinician 45,senior,45,2,1,5,5,2,4,3,1,2,4
